time,weathercode (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
5/22/2022,61,22.7,25.4,16.98,2.1,2.1,4,22.7,43.6,189,3.78
5/23/2022,3,24.3,27.6,24.74,0,0,0,21.1,39.2,167,5.3
5/24/2022,51,24.6,29.1,22.04,0.6,0.6,4,15.5,32.8,167,4.84
5/25/2022,51,24.5,29.1,22.23,0.9,0.9,6,13.8,28.1,149,4.6
5/26/2022,51,24.3,28.6,23.22,0.6,0.6,3,13.1,25.6,191,4.89
5/27/2022,53,23.9,27.5,24.75,0.6,0.6,1,15.3,33.8,176,5.28
5/28/2022,51,24.1,27.7,25.49,0.1,0.1,1,15,34.2,179,5.53
5/29/2022,51,24.3,27.7,24.39,0.2,0.2,1,14.8,31.7,179,5.1
5/30/2022,51,24.1,28.1,23.14,0.3,0.3,2,17.1,30.6,240,4.92
5/31/2022,61,24.2,27.9,23.75,9.4,9.4,9,16.2,29.5,158,4.95
6/1/2022,63,23.4,28.1,19.76,6,6,3,7.1,36.4,28,4.1
6/2/2022,51,24.2,27.8,21.06,0.5,0.5,2,16.8,33.8,169,4.5
6/3/2022,61,24.2,28.1,25,5.9,5.9,5,16.3,33.1,175,5.11
6/4/2022,63,24.4,28.6,25.17,9.7,9.7,7,13.4,28.4,164,5.16
6/5/2022,63,24.3,28.4,24.42,15.1,15.1,8,12.6,28.1,184,4.98
6/6/2022,63,24.3,26.7,23.76,9.4,9.4,7,12.4,33.1,166,4.67
6/7/2022,61,23.5,26.4,17.98,4.8,4.8,3,16.6,35.6,191,3.67
6/8/2022,51,23.8,26.8,22.36,0.1,0.1,1,18.7,39.2,183,4.67
6/9/2022,51,24.4,27.1,23.37,0.3,0.3,3,18.9,36.4,182,5.12
6/10/2022,3,23.8,26.2,19.95,0,0,0,19.8,40.3,195,4.42
6/11/2022,51,23.4,25.8,20.45,0.2,0.2,1,20.5,41,199,4.4
6/12/2022,63,23,26.3,22.62,8.2,8.2,5,15.4,33.5,196,4.71
6/13/2022,51,23.5,26.4,21.5,0.1,0.1,1,14,33.1,187,4.55
6/14/2022,63,23.7,27,22.03,5.2,5.2,4,13.3,28.4,180,4.62
6/15/2022,53,23.8,26.3,22.19,3.7,3.7,8,15.9,32.4,163,4.32
6/16/2022,55,23.3,27.1,19.92,2.5,2.5,7,11.9,28.1,180,4.03
6/17/2022,63,22.9,27.1,17.73,15.5,15.5,22,8.9,22.3,194,3.7
6/18/2022,63,22.6,27.2,16.71,25,25,18,9,24.5,202,3.38
6/19/2022,55,23.1,26.6,19.7,4.8,4.8,13,11.2,24.5,189,4.02
6/20/2022,51,23.2,25.9,19.34,1.1,1.1,6,14.5,33.8,180,3.95
6/21/2022,63,22,24.3,14.97,10.6,10.6,12,19.8,45.4,188,3.03
6/22/2022,53,22.2,24.7,12.81,1.6,1.6,4,18.5,38.2,202,2.87
6/23/2022,53,22.5,25.1,14.66,1.6,1.6,7,18.1,41,209,3.12
6/24/2022,51,23.1,25.1,18.94,0.4,0.4,3,26,62.6,201,4.34
6/25/2022,53,22.5,24.1,16.48,1.6,1.6,9,25.3,55.8,198,3.69
6/26/2022,51,23,24.5,17.68,0.3,0.3,3,26.8,54.7,194,4.34
6/27/2022,51,22.9,24.6,14.75,0.2,0.2,2,24.1,44.6,194,3.6
6/28/2022,51,22.3,24.6,13.04,0.8,0.8,5,20.2,39.6,186,2.97
6/29/2022,63,22.3,25.3,17.32,10,10,12,19.8,41.8,188,3.7
6/30/2022,61,22.1,24.5,13.83,7.6,7.6,16,20.2,44.3,186,2.92
7/1/2022,63,22.6,24.6,15.49,4.8,4.8,10,25.5,58.7,175,3.36
7/2/2022,53,23.3,25.4,18.06,2.2,2.2,10,26.3,49.7,167,3.85
7/3/2022,63,22.7,24.8,14.08,7.9,7.9,9,23.3,48.2,176,3.17
7/4/2022,63,20.4,23.9,3.53,35.3,35.3,23,21.5,43.9,196,1.26
7/5/2022,55,20.7,22.7,7.35,13,13,24,25.8,51.8,189,1.78
7/6/2022,61,20.8,22.7,8.15,18.5,18.5,22,24.2,48.2,190,1.82
7/7/2022,63,20.8,23.2,8.96,22.6,22.6,20,22.9,51.8,185,2
7/8/2022,53,21,22.3,9.06,4.3,4.3,20,28.6,55.8,176,2.08
7/9/2022,61,20.5,22.7,8.41,14.3,14.3,22,23.1,49.7,182,1.87
7/10/2022,53,20.8,22.8,8.22,7.2,7.2,21,28.1,52.2,177,1.98
7/11/2022,53,20.7,22.6,8.95,4.7,4.7,14,23.5,55.1,181,1.96
7/12/2022,51,22.1,22.9,16.61,1.7,1.7,13,31,62.6,183,3.87
7/13/2022,51,21.6,21.8,12.95,2.7,2.7,16,35.3,63.7,186,2.94
7/14/2022,53,22,21.9,19.2,1.3,1.3,8,34.5,82.8,191,3.83
7/15/2022,51,22.4,23,18.65,1.7,1.7,9,26.6,61.9,191,3.98
7/16/2022,63,22,23.4,14.3,16.2,16.2,15,26.6,60.8,190,2.84
7/17/2022,63,22.4,24.7,13.78,9.6,9.6,14,25,48.6,176,2.93
7/18/2022,61,22.1,24.3,13.53,3.5,3.5,11,20.9,43.2,180,2.68
7/19/2022,55,22.4,26,15.06,4.5,4.5,13,15.5,33.1,180,3.23
7/20/2022,63,22.9,26.6,18.93,7.7,7.7,10,14.8,32,152,3.91
7/21/2022,53,22.9,26.1,18.76,2,2,9,15.1,34.9,156,3.8
7/22/2022,61,21.8,24.9,10.52,4.7,4.7,13,15.7,34.9,163,2.21
7/23/2022,51,21.9,24.6,14.92,1.7,1.7,9,19.4,38.9,173,3.04
7/24/2022,51,22.4,24.5,15.51,0.8,0.8,5,21.1,41.8,173,3.31
7/25/2022,51,22.1,24.9,13.1,1.9,1.9,12,18,37.8,158,2.82
7/26/2022,53,21.7,24.9,10.53,3,3,13,16.1,34.6,144,2.25
7/27/2022,63,22.4,26.8,19.81,20.1,20.1,15,8.3,20.5,105,3.92
7/28/2022,61,22.9,28.4,19.9,7.2,7.2,10,5.2,20.5,315,4.02
7/29/2022,63,23.1,28.8,22.28,7.8,7.8,10,8,23.8,20,4.57
7/30/2022,61,23,27.7,20.72,8.4,8.4,19,10.2,22.7,133,4.2
7/31/2022,63,23.3,28,18.75,22,22,20,10.6,23,131,3.84
8/1/2022,63,23.2,27.5,18.58,12.2,12.2,18,13,28.8,124,3.73
8/2/2022,63,22.4,25.8,13.39,24.5,24.5,21,12.3,25.9,109,2.74
8/3/2022,63,22.1,25.7,11.3,25.2,25.2,19,11.4,22,136,2.26
8/4/2022,63,21.9,25,10.56,15.7,15.7,22,12.3,31,167,2.11
8/5/2022,61,20.8,22.3,11.35,11.9,11.9,22,23.9,55.1,199,2.21
8/6/2022,53,20.9,22.2,9.6,9.3,9.3,24,29.9,56.9,190,2.13
8/7/2022,61,21.1,23.1,8.59,16.2,16.2,18,23.1,53.3,192,2.13
8/8/2022,53,21.9,23.1,12.04,4,4,12,25.2,63,194,2.87
8/9/2022,51,22.1,22.3,14.78,0.9,0.9,6,33.2,64.8,197,3.63
8/10/2022,51,22.1,22.8,16.78,1.2,1.2,7,31.4,63,196,3.93
8/11/2022,51,22.4,23.4,18.61,1,1,8,31.5,62.3,193,4.22
8/12/2022,51,22.7,24,16.1,0.4,0.4,4,27.8,51.8,186,3.79
8/13/2022,51,22.4,24.2,14.98,0.3,0.3,3,23.5,44.3,180,3.54
8/14/2022,51,22,23.6,13.08,0.2,0.2,2,23.4,45.4,175,3.01
8/15/2022,51,22.3,25.2,15.25,0.1,0.1,1,18,38.9,184,3.25
8/16/2022,3,23,26.7,21.14,0,0,0,12,28.8,169,4.46
8/17/2022,3,23.1,27.1,19.94,0,0,0,12,25.9,151,4.38
8/18/2022,51,22.9,26.2,21.05,0.8,0.8,7,16.8,37.8,141,4.33
8/19/2022,51,23.1,25.3,17.51,0.1,0.1,1,20.1,39.6,149,3.72
8/20/2022,51,22.7,25.1,16.23,0.1,0.1,1,17.6,37.8,166,3.34
8/21/2022,55,22.7,25.5,17.48,5,5,11,18,42.5,173,3.51
8/22/2022,53,22.3,24.7,16.98,2.4,2.4,10,22.9,49.3,174,3.47
8/23/2022,53,22.2,25.1,16.35,2.3,2.3,13,20.4,41,174,3.45
8/24/2022,53,21.8,24.2,13.94,2.9,2.9,9,19.7,38.9,164,2.84
8/25/2022,63,21.8,25,14.58,11.4,11.4,16,17.1,33.1,142,2.85
8/26/2022,63,21.9,25.2,14.59,11.3,11.3,15,16.2,33.5,140,2.86
8/27/2022,61,21.8,25.1,14.28,11.3,11.3,17,13.4,26.6,145,2.88
8/28/2022,61,21.4,24.8,13.33,13.7,13.7,22,16.1,30.2,126,2.64
8/29/2022,63,22,26.1,14.27,8.2,8.2,12,11.8,27.4,118,2.76
8/30/2022,55,22.8,27.5,17.18,6.1,6.1,15,8.9,24.5,343,3.52
8/31/2022,63,22.5,26.6,18.85,5.6,5.6,8,11.2,29.9,327,3.76
9/1/2022,53,22.3,25.9,14.16,3.1,3.1,12,10.5,20.2,312,2.89
9/2/2022,51,22.6,26.7,19.05,1.3,1.3,11,8.2,24.8,301,3.86
9/3/2022,61,22.9,28.4,20.02,6.9,6.9,12,5.5,17.6,216,4.08
9/4/2022,63,23.1,28.2,20.14,11.4,11.4,14,10,21.6,136,4.1
9/5/2022,61,23.2,27.5,18.47,9.5,9.5,19,10.8,24.5,140,3.74
9/6/2022,63,22.9,27,19.22,10,10,11,9.4,19.1,209,3.89
9/7/2022,53,22,24.7,14.73,6.2,6.2,18,13.7,36.4,206,2.93
9/8/2022,63,21,24,8.73,16.2,16.2,24,17.4,38.5,199,1.8
9/9/2022,51,22,24.7,11.81,0.1,0.1,1,19.4,39.2,202,2.64
9/10/2022,63,22,24.1,12.07,6,6,10,23.2,49,196,2.65
9/11/2022,51,22.3,23.6,14.24,0.2,0.2,2,28.1,55.8,201,3.28
9/12/2022,51,22.2,23.5,15.79,0.6,0.6,6,28.2,55.1,204,3.56
9/13/2022,53,22.1,24.2,17.36,1.9,1.9,10,21.9,41.8,208,3.56
9/14/2022,63,22.4,25.5,18.18,3.4,3.4,5,17,33.5,204,3.63
9/15/2022,51,22.1,24.5,17.05,0.1,0.1,1,18.2,36.7,193,3.45
9/16/2022,51,22.4,25.1,16.92,0.2,0.2,2,17,36,182,3.55
9/17/2022,51,22.3,25.8,17.55,0.3,0.3,3,14,30.6,182,3.65
9/18/2022,51,22.3,25.6,17.96,0.4,0.4,4,15.2,32,175,3.65
9/19/2022,51,21.8,24.8,16.96,0.7,0.7,5,16.2,36,173,3.42
9/20/2022,3,22,24,20.91,0,0,0,16.5,36.7,170,4.18
9/21/2022,3,21.8,24.4,19.22,0,0,0,17.9,37.1,170,3.8
9/22/2022,3,21.8,24.7,22.81,0,0,0,17.8,38.5,173,4.54
9/23/2022,51,21.9,24.7,23.85,0.2,0.2,2,15.7,33.8,168,4.78
9/24/2022,51,22.3,25,21.51,0.8,0.8,7,17.9,36.7,158,4.31
9/25/2022,51,22.5,25.2,20.97,0.1,0.1,1,14.3,31.7,138,4.25
9/26/2022,51,22.3,24.2,16.09,1,1,8,15.6,31.3,133,3.04
9/27/2022,51,22.6,25.5,15.97,0.7,0.7,6,14.8,33.1,141,3.32
9/28/2022,51,22.9,25.3,18.99,0.3,0.3,3,13.7,28.4,154,3.7
9/29/2022,51,22.3,24.3,16.05,0.1,0.1,1,15.5,33.5,157,3.33
9/30/2022,55,21.3,23,13.3,8.9,8.9,16,17.9,44.6,160,2.55
10/1/2022,63,20.3,22.2,7.67,20.6,20.6,24,16.7,40.7,173,1.51
10/2/2022,53,21.3,23.1,10.69,1.3,1.3,4,20.2,41,152,2.22
10/3/2022,51,22,24,13.53,0.6,0.6,6,18.3,37.8,139,2.73
10/4/2022,51,22.1,24.8,17.71,0.8,0.8,7,20.1,40.7,132,3.48
10/5/2022,51,22.3,25.4,16.7,1.1,1.1,6,17.1,33.1,148,3.21
10/6/2022,53,21,23.9,12.59,5.5,5.5,18,16.6,33.5,190,2.38
10/7/2022,53,21.6,24.2,20.5,0.9,0.9,3,12.3,29.5,199,3.96
10/8/2022,3,21.8,25.1,19.29,0,0,0,7.9,17.6,133,3.84
10/9/2022,63,21.7,25.4,11.37,16.3,16.3,13,9.1,19.4,91,2.31
10/10/2022,63,21.5,26,12.15,12.7,12.7,18,7.7,22.3,8,2.47
10/11/2022,63,21.9,26.2,15.19,6.2,6.2,10,11.2,26.6,294,3.03
10/12/2022,61,21.6,26.7,16.75,6.8,6.8,11,7.2,20.2,245,3.37
10/13/2022,53,22.4,26.8,17.37,3.5,3.5,16,8.3,17.6,23,3.55
10/14/2022,61,21.7,26.2,17.22,10.4,10.4,14,8.7,20.9,221,3.46
10/15/2022,61,22.1,26.9,17.43,6.6,6.6,14,9.5,24.5,47,3.57
10/16/2022,63,21.9,26.5,12.69,11.4,11.4,16,9.6,19.8,307,2.61
10/17/2022,55,21.9,26.4,18.02,3.2,3.2,8,11.1,27.4,340,3.63
10/18/2022,63,21.4,26,14.55,11.7,11.7,15,6.2,19.4,202,2.94
10/19/2022,61,21.9,26.6,19.21,7.8,7.8,13,8.4,21.2,57,3.87
10/20/2022,63,21.8,26.5,17.1,12.3,12.3,13,9.1,25.9,13,3.52
10/21/2022,55,21.7,25.5,16.93,3.6,3.6,9,13.8,34.2,10,3.37
10/22/2022,3,21.6,24.8,19.74,0,0,0,14.7,31,61,3.97
10/23/2022,0,20.7,23.7,23.89,0,0,0,11.8,26.6,93,4.68
10/24/2022,1,19.6,21,24.36,0,0,0,15.9,34.2,113,5
10/25/2022,0,19.4,21.3,24.45,0,0,0,10,24.5,101,4.92
10/26/2022,0,19.5,22.1,24.21,0,0,0,9,20.5,53,4.75
10/27/2022,0,19.9,22.2,23.89,0,0,0,9.7,23.4,20,4.67
10/28/2022,51,20.6,23,15.94,0.2,0.2,2,14,33.8,31,3.24
10/29/2022,51,20.9,23.5,13.64,0.2,0.2,2,14.1,33.8,16,2.75
10/30/2022,51,21.5,24.1,12.84,0.3,0.3,3,12.2,29.5,29,2.67
10/31/2022,1,21,23.7,19.76,0,0,0,13.6,32.8,47,4.12
11/1/2022,61,19.6,22.8,10.78,6.9,6.9,12,12,33.5,52,2.16
11/2/2022,55,19.3,21.8,5.27,8.8,8.8,19,15.8,31.7,56,1.17
11/3/2022,55,20.2,23,6.93,5.5,5.5,15,15.6,28.4,34,1.54
11/4/2022,61,21.2,24.1,14.45,3.2,3.2,12,15.1,33.8,5,3.02
11/5/2022,51,21.4,24.2,17.34,0.6,0.6,6,18.1,34.9,356,3.49
11/6/2022,51,20.9,23.8,15.97,1,1,5,15.3,31.3,18,3.11
11/7/2022,1,20.5,22.8,22.58,0,0,0,12.8,28.4,29,4.44
11/8/2022,3,20.6,22.9,19.08,0,0,0,12.5,27.7,27,3.86
11/9/2022,1,20.5,22.7,22.16,0,0,0,11.5,27,29,4.38
11/10/2022,51,20.6,22.9,20.03,0.1,0.1,1,14.1,32.4,30,3.98
11/11/2022,63,19.5,21.2,9.33,12.1,12.1,14,15,46.4,57,1.92
11/12/2022,53,19.8,21.3,5.53,4.6,4.6,18,21.4,38.9,47,1.13
11/13/2022,61,20.4,23,9.68,5.3,5.3,15,20.3,39.2,4,1.87
11/14/2022,53,20.9,23.2,15.71,1,1,4,13,28.1,10,3.12
11/15/2022,51,21.3,24.3,16.78,1,1,8,9.1,26.6,11,3.27
11/16/2022,3,21,24.2,18.28,0,0,0,9.4,25.2,40,3.65
11/17/2022,1,19.2,21.1,22.53,0,0,0,11.3,26.3,59,4.38
11/18/2022,1,18.3,19.2,21.41,0,0,0,11,24.8,45,4.32
11/19/2022,1,18,18.9,20.81,0,0,0,13.6,29.9,45,4.07
11/20/2022,1,17.8,19,18.63,0,0,0,11.8,23.8,54,3.63
11/21/2022,3,18.2,19.5,16.41,0,0,0,9.4,26.3,76,3.46
11/22/2022,51,20,22.7,6.35,0.2,0.2,2,8.7,17.6,64,1.44
11/23/2022,53,19.7,23.6,3.35,8.2,8.2,24,7.6,15.8,96,0.79
11/24/2022,53,21.1,24.7,11.96,3,3,15,10.9,24.1,343,2.3
11/25/2022,3,21.3,24.4,14.81,0,0,0,13.1,28.1,346,3.01
11/26/2022,3,21.5,25,17.54,0,0,0,10.2,24.1,357,3.57
11/27/2022,51,21.4,24.7,14.85,0.2,0.2,2,9.3,19.4,350,2.99
11/28/2022,51,21.8,25.3,15.5,0.4,0.4,4,8.7,19.4,340,3.07
11/29/2022,3,21.5,24.2,18.24,0,0,0,10.7,23.4,24,3.75
11/30/2022,2,19.5,21.3,20.99,0,0,0,9.3,23,25,3.99
12/1/2022,51,19.8,22.3,14.98,0.5,0.5,3,12.3,28.1,353,2.84
12/2/2022,51,21.6,24.4,13.61,0.1,0.1,1,12.8,27,358,2.86
12/3/2022,3,21.7,24.8,16.1,0,0,0,14,31,1,3.42
12/4/2022,3,21.8,23.8,15.44,0,0,0,15.9,33.1,13,3.25
12/5/2022,3,20.9,23.2,14.71,0,0,0,16.4,32.8,2,2.99
12/6/2022,3,21.2,23.4,17.36,0,0,0,11.5,27.7,32,3.39
12/7/2022,1,19.5,20.1,15.24,0,0,0,15.4,32.4,62,3.35
12/8/2022,51,19.4,19.4,14.54,0.2,0.2,1,16.6,33.8,92,3.34
12/9/2022,61,16.5,17.1,5.41,10.5,10.5,21,18.1,42.1,105,1.61
12/10/2022,63,17.1,17,1.31,46.6,46.6,24,25.3,48.6,121,0.34
12/11/2022,51,18.8,21.3,3.14,2.9,2.9,13,9.9,19.1,3,0.74
12/12/2022,63,20.1,22.6,9.69,10,10,13,12.8,31.7,340,1.89
12/13/2022,63,20.2,22.5,11.03,7.8,7.8,10,13.9,35.6,332,2.09
12/14/2022,51,20,22.1,12.97,0.1,0.1,1,17.7,33.8,336,2.5
12/15/2022,3,19.9,21.9,20.5,0,0,0,12.4,28.4,358,4.18
12/16/2022,0,18.9,20.4,20.83,0,0,0,13.7,29.5,8,4.45
12/17/2022,2,19.8,21.8,19.4,0,0,0,16.4,33.8,21,3.94
12/18/2022,3,20.1,22.2,15.91,0,0,0,19.2,40,52,3.21
12/19/2022,3,19.8,21.4,18.24,0,0,0,15.9,35.3,65,3.53
12/20/2022,1,19.6,21.6,20.27,0,0,0,11.9,27,70,3.97
12/21/2022,2,19.1,20.7,20.71,0,0,0,12.1,27.7,59,4.15
12/22/2022,1,18.4,19.4,21.06,0,0,0,14.9,32.8,51,4.34
12/23/2022,1,18.8,19.9,21.34,0,0,0,11.8,28.1,41,4.36
12/24/2022,1,18.6,19.9,21.18,0,0,0,11.8,26.6,41,4.26
12/25/2022,51,19.8,21.7,10.13,2.4,2.4,12,18.7,35.3,59,1.93
12/26/2022,51,21.6,23.6,13.69,1,1,7,18.9,39.6,97,2.76
12/27/2022,51,21.2,23.7,12.08,1.5,1.5,9,17.8,37.1,106,2.48
12/28/2022,3,21.7,24.3,17.81,0,0,0,12.6,29.9,101,3.69
12/29/2022,2,20.7,23,20.83,0,0,0,12.4,28.4,96,4.24
12/30/2022,0,20,22,21.09,0,0,0,11.7,30.6,92,4.25
12/31/2022,1,19.9,21.5,21.3,0,0,0,8.1,23,89,4.17
1/1/2023,1,19.9,21.6,20.91,0,0,0,11.3,26.3,78,4.25
1/2/2023,1,19.5,20.4,21.45,0,0,0,14.8,34.2,98,4.46
1/3/2023,3,19.7,21,20.48,0,0,0,13.7,32,95,4.08
1/4/2023,3,19.6,20.7,21.25,0,0,0,13.4,33.5,98,4.19
1/5/2023,3,19.7,20.2,17.16,0,0,0,16.7,36.7,101,3.6
1/6/2023,3,19.6,19.8,20.06,0,0,0,18.7,38.9,82,4.15
1/7/2023,3,19.4,20.3,14.9,0,0,0,18.3,38.2,75,3.1
1/8/2023,3,19.8,20.9,20.06,0,0,0,13.4,29.9,62,3.81
1/9/2023,3,18.8,18.1,22.21,0,0,0,12,28.4,80,4.52
1/10/2023,2,17.6,17.9,22.59,0,0,0,14,34.9,79,4.51
1/11/2023,2,18.1,18,22.74,0,0,0,11.5,28.8,79,4.69
1/12/2023,0,18.8,18.5,22.67,0,0,0,10.9,29.2,80,4.77
1/13/2023,1,19.3,19.2,22.17,0,0,0,10,22.7,95,4.62
1/14/2023,1,19.4,19.1,22.52,0,0,0,9.1,24.1,92,4.73
1/15/2023,0,19.2,19,23.06,0,0,0,9.8,22.7,96,4.91
1/16/2023,0,19.7,20,22.82,0,0,0,12.4,21.2,90,4.83
1/17/2023,0,19.2,19.5,22.78,0,0,0,11.9,22.3,111,4.82
1/18/2023,2,18.9,19.6,22.18,0,0,0,12.4,24.5,98,4.57
1/19/2023,3,19.1,19.3,22.59,0,0,0,12.6,25.9,92,4.71
1/20/2023,3,18.9,19.4,22.17,0,0,0,12.4,30.2,107,4.25
1/21/2023,3,20.6,20.9,19.05,0,0,0,12.6,30.2,94,3.85
1/22/2023,3,19.9,19.8,21.93,0,0,0,14.9,33.8,93,4.62
1/23/2023,3,20.1,20.8,16.42,0,0,0,14.4,31,107,3.43
1/24/2023,51,21.3,22.4,17.14,0.1,0.1,1,14.2,27.7,124,3.59
1/25/2023,3,20.3,20.6,21.8,0,0,0,13,25.6,112,4.57
1/26/2023,3,20.1,20.6,22.95,0,0,0,13,23.8,104,4.71
1/27/2023,3,19.9,20.8,22.71,0,0,0,11,25.9,98,4.72
1/28/2023,0,19.6,19.5,23.36,0,0,0,13.7,32.4,80,5.11
1/29/2023,1,19.8,20.2,23.09,0,0,0,17.3,38.5,87,5.12
1/30/2023,51,20.8,22.5,15.75,0.4,0.4,4,11.9,25.2,95,3.23
1/31/2023,3,21.9,22.5,19.66,0,0,0,17,37.8,59,4.45
2/1/2023,3,21.5,21.1,21.43,0,0,0,17.7,39.2,56,5.11
2/2/2023,3,22.1,20.4,14,0,0,0,19.8,43.6,62,4.35
2/3/2023,3,21.2,20.8,13.06,0,0,0,19.2,39.6,77,3.56
2/4/2023,2,22.1,22.4,22.14,0,0,0,16.1,36,83,5.36
2/5/2023,1,22.1,22.4,23.53,0,0,0,13.6,32,94,5.55
2/6/2023,1,21.8,21.9,23.73,0,0,0,11.9,28.1,103,5.23
2/7/2023,1,22.1,23.5,22.63,0,0,0,10.4,20.2,126,4.65
2/8/2023,1,22.9,23.4,23.61,0,0,0,12,28.1,82,5.4
2/9/2023,1,22.5,22.8,23.79,0,0,0,14.2,33.5,85,5.45
2/10/2023,1,22.3,21.8,24.17,0,0,0,15.3,35.3,80,5.67
2/11/2023,1,22.2,21.2,24.56,0,0,0,12.8,30.6,79,5.67
2/12/2023,1,22.6,21.9,24.6,0,0,0,15.7,35.3,84,6.07
2/13/2023,0,NaN,NaN,NaN,NaN,NaN,0,9.8,16.6,NaN,NaN
2/14/2023,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
2/15/2023,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
2/16/2023,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
2/17/2023,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
2/18/2023,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
